gene;DE_log2_FC
Actn1;0,560497237
Ano1;0,261341223
Anxa5;1,49428421
Arpp19;0,536566678
Atp2b1;0,387278855
Atxn10;0,40330718
Basp1;0,520872951
Bnip3l;0,338884167
Bst2;0,761626968
1810037I17Rik;0,623884755
Celf2;0,289070559
Cfl2;0,372212971
Cgnl1;0,260195807
Clic4;0,372484009
Cnn2;0,825461905
Col18a1;0,458110042
Col4a1;0,791549999
Col4a2;0,770623091
Ctsc;0,266903885
Dctn3;0,378682384
Epb41l2;0,296056785
Flna;0,588613026
Gnai2;0,808049422
Itgb1;0,36871754
Lgals1;0,634460224
Ly6e;0,60716663
Morf4l1;0,262809887
Msn;0,509425847
Pam;0,348580248
Pdlim2;0,437072998
Pdlim7;0,338837376
Phlda1;0,934833693
Polr2g;0,3493902
Prkar1a;0,29154346
Ralgps2;0,329262967
Rbms1;0,703571626
Rbpms;0,412974952
Snhg6;0,60695368
Tacstd2;0,494213244
Tbcb;0,250916618
Tnfaip8;0,260728203
Tubb6;0,523713083
Zfp36l1;0,263322987